iso3c,name,url
PRK,朝鲜,%E6%9C%9D%E9%B2%9C%E6%B0%91%E4%B8%BB%E4%B8%BB%E4%B9%89%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
PRT,葡萄牙,%E8%91%A1%E8%90%84%E7%89%99
PRY,巴拉圭,%E5%B7%B4%E6%8B%89%E5%9C%AD
PSE,巴勒斯坦,%E5%B7%B4%E5%8B%92%E6%96%AF%E5%9D%A6%E5%9C%8B
PYF,法属波利尼西亚,%E6%B3%95%E5%B1%AC%E7%8E%BB%E9%87%8C%E5%B0%BC%E8%A5%BF%E4%BA%9E
QAT,卡塔尔,%E5%8D%A1%E5%A1%94%E5%B0%94
REU,留尼汪,%E7%95%99%E5%B0%BC%E6%B1%AA
ROU,罗马尼亚,%E7%BE%85%E9%A6%AC%E5%B0%BC%E4%BA%9E
RUS,俄罗斯,%E4%BF%84%E7%BD%97%E6%96%AF
RWA,卢旺达,%E5%8D%A2%E6%97%BA%E8%BE%BE
SAU,沙特阿拉伯,%E6%B2%99%E7%89%B9%E9%98%BF%E6%8B%89%E4%BC%AF
SDN,苏丹,%E8%8B%8F%E4%B8%B9
SEN,塞内加尔,%E5%A1%9E%E5%86%85%E5%8A%A0%E5%B0%94
SGP,新加坡,%E6%96%B0%E5%8A%A0%E5%9D%A1
SGS,南乔治亚和南桑威奇群岛,%E5%8D%97%E4%B9%94%E6%B2%BB%E4%BA%9A%E5%92%8C%E5%8D%97%E6%A1%91%E5%A8%81%E5%A5%87%E7%BE%A4%E5%B2%9B
SHN,圣赫勒拿、阿森松和特里斯坦-达库尼亚,%E5%9C%A3%E8%B5%AB%E5%8B%92%E6%8B%BF%E3%80%81%E9%98%BF%E6%A3%AE%E6%9D%BE%E5%92%8C%E7%89%B9%E9%87%8C%E6%96%AF%E5%9D%A6-%E8%BE%BE%E5%BA%93%E5%B0%BC%E4%BA%9A
SJM,斯瓦尔巴和扬马延,%E6%96%AF%E7%93%A6%E5%B7%B4%E5%92%8C%E6%89%AC%E9%A9%AC%E5%BB%B6
SLB,所罗门群岛,%E6%89%80%E7%BD%97%E9%97%A8%E7%BE%A4%E5%B2%9B
SLE,塞拉利昂,%E5%A1%9E%E6%8B%89%E5%88%A9%E6%98%82
SLV,萨尔瓦多,%E8%90%A8%E5%B0%94%E7%93%A6%E5%A4%9A
SMR,圣马力诺,%E5%9C%A3%E9%A9%AC%E5%8A%9B%E8%AF%BA
SOM,索马里,%E7%B4%A2%E9%A9%AC%E9%87%8C
