short_name_en,variant,common_string,regex
Morocco,摩洛哥王国,摩洛哥,摩洛哥
Mozambique,莫桑比克,比克,
Mozambique,莫桑比克共和国,比克,
Mozambique,莫三比克,比克,
Mozambique,莫三比克共和国,比克,
Myanmar,缅甸,缅甸,缅甸
Myanmar,缅甸联邦共和国,缅甸,缅甸
Namibia,纳米比亚,纳米比亚,纳米比亚
Namibia,纳米比亚共和国,纳米比亚,纳米比亚
Nauru,瑙鲁,鲁,
Nauru,瑙鲁共和国,鲁,
Nauru,诺鲁,鲁,
Nauru,诺鲁共和国,鲁,
Nepal,尼泊尔,尼泊尔,尼泊尔
Nepal,尼泊尔联邦民主共和国,尼泊尔,尼泊尔
Netherlands,荷兰,兰,
Netherlands,尼德兰,兰,
New Zealand,新西兰,,
New Zealand,奥特亚罗瓦,,
New Zealand,纽西兰,,
Nicaragua,尼加拉瓜,尼加拉瓜,尼加拉瓜
Nicaragua,尼加拉瓜共和国,尼加拉瓜,尼加拉瓜
Niger,尼日尔,尼日,尼日
Niger,尼日尔共和国,尼日,尼日
Niger,尼日,尼日,尼日
Niger,尼日共和国,尼日,尼日
Nigeria,尼日利亚,利亚,
Nigeria,尼日利亚联邦共和国,利亚,
Nigeria,奈及利亚,利亚,
Nigeria,奈及利亚联邦共和国,利亚,
Niue,纽埃,纽,
Niue,纽威,纽,
North Korea,朝鲜民主主义人民共和国,,
North Korea,朝鲜,,
North Korea,北韩,,
North Macedonia,北马其顿,马其顿,马其顿
North Macedonia,北马其顿共和国,马其顿,马其顿
North Macedonia,马其顿共和国,马其顿,马其顿
North Macedonia,马其顿,马其顿,马其顿
Northern Cyprus,北塞浦路斯,北,
Northern Cyprus,北塞浦路斯土耳其共和国,北,
Northern Cyprus,北赛普勒斯,北,
Northern Cyprus,北赛普勒斯土耳其共和国,北,
Norway,挪威,挪威,挪威
Norway,挪威王国,挪威,挪威
Oman,阿曼,阿曼,阿曼
Oman,阿曼苏丹国,阿曼,阿曼
Pakistan,巴基斯坦,巴基斯坦,巴基斯坦
Pakistan,巴基斯坦伊斯兰共和国,巴基斯坦,巴基斯坦
Palau,帕劳,,
Palau,帕劳共和国,,
Palau,帛琉,,
Palau,帛琉共和国,,
Palestine,巴勒斯坦国,巴勒斯坦,巴勒斯坦
Palestine,巴勒斯坦,巴勒斯坦,巴勒斯坦
Panama,巴拿马,巴拿马,巴拿马
Panama,巴拿马共和国,巴拿马,巴拿马
Papua New Guinea,巴布亚新几内亚,巴,
Papua New Guinea,巴布亚新几内亚独立国,巴,
Papua New Guinea,巴新,巴,
Papua New Guinea,巴布亚新畿内亚,巴,
Papua New Guinea,巴布亚新畿内亚独立国,巴,
Papua New Guinea,巴布亚纽几内亚,巴,
Papua New Guinea,巴布亚纽几内亚独立国,巴,
Papua New Guinea,巴纽,巴,
Paraguay,巴拉圭,巴拉圭,巴拉圭
Paraguay,巴拉圭共和国,巴拉圭,巴拉圭
Peru,秘鲁,秘鲁,秘鲁
Peru,秘鲁共和国,秘鲁,秘鲁
Philippines,菲律宾,菲律宾,菲律宾
Philippines,菲律宾共和国,菲律宾,菲律宾
Poland,波兰,波兰,波兰
Poland,波兰共和国,波兰,波兰
Portugal,葡萄牙,葡,
Portugal,葡萄牙共和国,葡,
Portugal,葡国,葡,
Pridnestrovie,德涅斯特河沿岸,斯特,
Pridnestrovie,德涅斯特河沿岸摩尔达维亚共和国,斯特,
Pridnestrovie,德涅斯特里亚,斯特,
Pridnestrovie,聂斯特河沿岸,斯特,
Pridnestrovie,聂斯特河沿岸摩尔达维亚共和国,斯特,
Pridnestrovie,聂斯特里亚,斯特,
Qatar,卡塔尔,卡,
Qatar,卡塔尔国,卡,
Qatar,卡达,卡,
Qatar,卡达国,卡,
Romania,罗马尼亚,罗马尼亚,罗马尼亚
Russia,俄罗斯,俄罗斯,俄罗斯
Russia,俄罗斯联邦,俄罗斯,俄罗斯
Rwanda,卢旺达,卢,
Rwanda,卢旺达共和国,卢,
Rwanda,卢安达,卢,
Rwanda,卢安达共和国,卢,
Saint Christopher and Nevis,圣基茨和尼维斯,,
Saint Christopher and Nevis,圣基茨和尼维斯联邦,,
Saint Christopher and Nevis,圣克里斯托弗和尼维斯联邦,,
Saint Christopher and Nevis,圣尼,,
Saint Christopher and Nevis,圣克里斯多福及尼维斯／圣吉斯纳域斯联邦,,
Saint Christopher and Nevis,圣克里斯多福及尼维斯联邦,,
Saint Christopher and Nevis,圣克里斯多福及尼维斯,,
Saint Christopher and Nevis,克国,,
Saint Lucia,圣卢西亚,西亚,
Saint Lucia,圣露西亚,西亚,
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,圣文森,圣文森
Saint Vincent and the Grenadines,圣文森特,圣文森,圣文森
