iso3c,name
LUX,卢森堡大公国
LVA,拉脱维亚
LVA,拉脱维亚共和国
MAC,澳门
MAF,法属圣马丁
MAF,圣马丁
MAF,圣马丁集体
MAR,摩洛哥
MAR,摩洛哥王国
MCO,摩纳哥
MCO,摩纳哥公国
MCO,摩纳哥侯国
MCO,摩纳哥亲王国
MDA,摩尔多瓦
MDA,摩尔多瓦共和国
MDG,马达加斯加
MDG,马达加斯加共和国
MDG,马尔加什共和国
MDG,马拉加西共和国
MDV,马尔代夫
MDV,马尔代夫共和国
MDV,马尔地夫
MDV,马尔地夫共和国
MEX,墨西哥
MEX,墨西哥合众国
MHL,马绍尔群岛
MHL,马绍尔群岛共和国
MHL,马绍尔
MKD,北马其顿
MKD,北马其顿共和国
MKD,马其顿共和国
MKD,马其顿
MLI,马里
MLI,马里共和国
MLI,马利
MLI,马利共和国
MLT,马耳他
MLT,马耳他共和国
MLT,马尔他
MLT,马尔他共和国
MMR,缅甸
MMR,缅甸联邦共和国
MNE,黑山
MNE,蒙特内哥罗
MNG,蒙古国
MNG,蒙古
MNP,北马里亚纳群岛
MNP,北马里亚纳群岛自由邦
MNP,北马利安纳群岛
MNP,北马利安纳群岛邦
MOZ,莫桑比克
MOZ,莫桑比克共和国
MOZ,莫三比克
MOZ,莫三比克共和国
MRT,毛里塔尼亚
MRT,毛里塔尼亚伊斯兰共和国
MRT,茅利塔尼亚
MRT,茅利塔尼亚伊斯兰共和国
MSR,蒙特塞拉特
MSR,蒙哲腊
MTQ,马提尼克
MTQ,马丁尼克
MUS,毛里求斯
MUS,毛里求斯共和国
MUS,毛里裘斯
MUS,毛里裘斯共和国
MUS,模里西斯
MUS,模里西斯共和国
MWI,马拉维
MWI,马拉维共和国
MWI,马拉威
MWI,马拉威共和国
MYS,马来西亚
MYT,马约特
MYT,马约特省
"NAM",纳米比亚
"NAM",纳米比亚共和国
NCL,新喀里多尼亚
NER,尼日尔
NER,尼日尔共和国
NER,尼日
NER,尼日共和国
NFK,诺福克岛
NGA,尼日利亚
NGA,尼日利亚联邦共和国
NGA,奈及利亚
NGA,奈及利亚联邦共和国
NIC,尼加拉瓜
NIC,尼加拉瓜共和国
NIU,纽埃
NIU,纽威
NLD,荷兰
NOR,挪威
NOR,挪威王国
NPL,尼泊尔
NPL,尼泊尔联邦民主共和国
NRU,瑙鲁
NRU,瑙鲁共和国
NRU,诺鲁
NRU,诺鲁共和国
NZL,新西兰
NZL,纽西兰
OMN,阿曼
OMN,阿曼苏丹国
PAK,巴基斯坦
PAK,巴基斯坦伊斯兰共和国
PAN,巴拿马
PAN,巴拿马共和国
PCN,皮特凯恩群岛
PCN,皮特凯恩岛
PCN,皮特肯群岛
PCN,皮特肯岛
PCN,皮特凯恩、亨德森、迪西和奥埃诺群岛
PER,秘鲁
PER,秘鲁共和国
PHL,菲律宾
PHL,菲律宾共和国
PLW,帕劳
PLW,帕劳共和国
PLW,帛琉
PLW,帛琉共和国
PNG,巴布亚新几内亚
PNG,巴布亚新几内亚独立国
PNG,巴新
PNG,巴布亚新畿内亚
PNG,巴布亚新畿内亚独立国
PNG,巴布亚纽几内亚
PNG,巴布亚纽几内亚独立国
PNG,巴纽
POL,波兰
POL,波兰共和国
PRI,波多黎各
PRI,波多黎各自由邦
PRK,朝鲜民主主义人民共和国
PRK,朝鲜
PRK,北韩
PRT,葡萄牙
PRT,葡萄牙共和国
PRT,葡国
PRY,巴拉圭
PRY,巴拉圭共和国
PSE,巴勒斯坦国
PSE,巴勒斯坦
PYF,法属波利尼西亚
PYF,法属玻里尼西亚
QAT,卡塔尔
QAT,卡塔尔国
QAT,卡达
QAT,卡达国
REU,留尼汪
REU,留尼旺
ROU,罗马尼亚
RUS,俄罗斯
RUS,俄罗斯联邦
RWA,卢旺达
RWA,卢旺达共和国
RWA,卢安达
RWA,卢安达共和国
SAU,沙特阿拉伯
SAU,沙特阿拉伯王国
SAU,沙特
SAU,沙乌地阿拉伯
SAU,沙地阿拉伯
SAU,沙地阿拉伯王国
SAU,沙地
SAU,沙乌地阿拉伯王国
SAU,沙乌地
SDN,苏丹
SDN,苏丹共和国
SDN,北苏丹
SEN,塞内加尔
SEN,塞内加尔共和国
SGP,新加坡
SGP,新加坡共和国
SGP,狮城
SGP,星国
SGP,星洲
SGP,星加坡
SGS,南乔治亚和南桑威奇群岛
SGS,南佐治亚及南三文治群岛
SGS,南乔治亚与南桑威奇群岛
SHN,圣赫勒拿、阿森松和特里斯坦-达库尼亚
SHN,圣海伦娜、阿森松和崔斯坦达库尼亚
SHN,圣赫勒拿、亚森欣与崔斯坦达库尼亚
SHN,圣赫勒拿、亚森欣和崔斯坦达库尼亚
SJM,斯瓦尔巴和扬马延
SJM,斯瓦巴和扬马延
SLB,所罗门群岛
SLB,索罗门群岛
SLE,塞拉利昂
SLE,塞拉利昂共和国
SLE,狮子山共和国
SLE,狮子山
SLV,萨尔瓦多
SLV,萨尔瓦多共和国
SMR,圣马力诺
SMR,最庄严尊贵的圣马力诺共和国
SMR,圣马力诺共和国
SMR,圣马利诺
SMR,最庄严尊贵的圣马利诺共和国
SMR,圣马利诺共和国
SOM,索马里
SOM,索马里联邦共和国
SOM,索马利亚
SOM,索马利亚联邦共和国
SPM,圣皮埃尔和密克隆
SPM,圣皮埃与密克隆群岛
SPM,圣皮埃与密克隆
SRB,塞尔维亚
SRB,塞尔维亚共和国
SSD,南苏丹
SSD,南苏丹共和国
STP,圣多美和普林西比
STP,圣多美和普林西比民主共和国
STP,圣普
STP,圣多美普林西比
STP,圣多美普林西比民主共和国
SUR,苏里南
SUR,苏里南共和国
SUR,苏利南
SUR,苏利南共和国
SVK,斯洛伐克
SVK,斯洛伐克共和国
SVN,斯洛文尼亚
SVN,斯洛文尼亚共和国
SVN,斯洛维尼亚
SVN,斯洛维尼亚共和国
SWE,瑞典
SWE,瑞典王国
SWZ,斯威士兰
SWZ,斯威士兰王国
SWZ,史瓦帝尼
SWZ,史瓦帝尼王国
SXM,荷属圣马丁
SXM,圣马丁
SYC,塞舌尔
SYC,塞舌尔共和国
SYC,塞席尔
SYC,塞席尔共和国
SYR,叙利亚
SYR,阿拉伯叙利亚共和国
TCA,特克斯和凯科斯群岛
TCA,特凯
TCA,土克凯可群岛
TCD,乍得
TCD,乍得共和国
TCD,查德
TCD,查德共和国
TGO,多哥
TGO,多哥共和国
THA,泰国
THA,泰王国
TJK,塔吉克斯坦
TJK,塔吉克斯坦共和国
TJK,塔吉克
TJK,塔吉克共和国
TKL,托克劳
TKL,尤宁群岛
TKL,托克劳群岛
TKM,土库曼斯坦
TKM,土库曼
TLS,东帝汶
TLS,东帝汶民主共和国
TON,汤加
TON,汤加王国
TON,东加
TON,东加王国
TTO,特立尼达和多巴哥
TTO,特立尼达和多巴哥共和国
TTO,特多
TTO,千里达及多巴哥
TTO,千里达及多巴哥共和国
TTO,千里达
TTO,千里达及托巴哥
TTO,千里达及托巴哥共和国
TUN,突尼斯
TUN,突尼斯共和国
TUN,突尼西亚
TUN,突尼西亚共和国
TUR,土耳其
TUR,土耳其共和国
TUV,图瓦卢
TUV,吐瓦鲁
TWN,中国台湾
TWN,中国台湾省
TWN,台湾
TZA,坦桑尼亚
TZA,坦桑尼亚联合共和国
TZA,坦尚尼亚
TZA,坦尚尼亚联合共和国
UGA,乌干达
UGA,乌干达共和国
UKR,乌克兰
UMI,美国本土外小岛屿
URY,乌拉圭
URY,乌拉圭东岸共和国
USA,美国
USA,美利坚合众国
UZB,乌兹别克斯坦
UZB,乌兹别克斯坦共和国
UZB,乌兹别克
UZB,乌兹别克共和国
VAT,梵蒂冈
VAT,梵蒂冈城国
VAT,梵蒂冈
VAT,梵谛冈
VCT,圣文森特和格林纳丁斯
VCT,圣文森特
VCT,圣文森及格瑞那丁
VCT,圣文森
VEN,委内瑞拉
VEN,委内瑞拉玻利瓦尔共和国
VEN,委内瑞拉玻利瓦共和国
VGB,英属维尔京群岛
VGB,英属处女群岛
VGB,英属维京群岛
VIR,美属维尔京群岛
VIR,美属处女群岛
VIR,美属维京群岛
VNM,越南
VNM,越南社会主义共和国
VUT,瓦努阿图
VUT,瓦努阿图共和国
VUT,万那杜
VUT,万那杜共和国
WLF,瓦利斯和富图纳
WLF,瓦利斯和富图那
WSM,萨摩亚
WSM,萨摩亚独立国
YEM,也门
YEM,也门共和国
YEM,叶门
YEM,叶门共和国
ZAF,南非
ZAF,南非共和国
ZMB,赞比亚
ZMB,赞比亚共和国
ZMB,尚比亚
ZMB,尚比亚共和国
ZWE,津巴布韦
ZWE,津巴布韦共和国
ZWE,辛巴威
ZWE,辛巴威共和国
