iso3c,variant,common_string,regex
CYP,赛普勒斯共和国,斯,(?<!北)(赛|塞)(普勒|浦路)斯
CYP,赛普勒斯共和国,斯,北(赛|塞)(普勒|浦路)斯
CZE,捷克,捷克,捷克
CZE,捷克共和国,捷克,捷克
DEU,德国,德,德国|德意志联邦共和国
DEU,德意志联邦共和国,德,德国|德意志联邦共和国
DJI,吉布提,吉布,吉布(地|提)
DJI,吉布提共和国,吉布,吉布(地|提)
DJI,吉布地,吉布,吉布(地|提)
DJI,吉布地共和国,吉布,吉布(地|提)
DMA,多米尼克,多米尼克,多米尼克
DMA,多米尼克国,多米尼克,多米尼克
DNK,丹麦,丹麦,丹麦
DOM,多米尼加,尼加,多(明|米)尼加
DOM,多米尼加共和国,尼加,多(明|米)尼加
DOM,多明尼加,尼加,多(明|米)尼加
DZA,阿尔及利亚,阿尔及利亚,阿尔及利亚
DZA,阿尔及利亚民主人民共和国,阿尔及利亚,阿尔及利亚
ECU,厄瓜多尔,厄瓜多,厄瓜多
ECU,厄瓜多尔共和国,厄瓜多,厄瓜多
ECU,厄瓜多,厄瓜多,厄瓜多
ECU,厄瓜多共和国,厄瓜多,厄瓜多
EGY,埃及,埃及,埃及
EGY,阿拉伯埃及共和国,埃及,埃及
EGY,埃及阿拉伯共和国,埃及,埃及
ERI,厄立特里亚,厄,厄(利垂|立特里)亚
ERI,厄立特里亚国,厄,厄(利垂|立特里)亚
ERI,厄利垂亚,厄,厄(利垂|立特里)亚
ERI,厄利垂亚国,厄,厄(利垂|立特里)亚
ESH,西撒哈拉,西撒哈拉,西撒哈拉|撒哈?拉.*民主共和国
ESP,西班牙,,西班牙|(日斯|以西)(巴|把)(尼|你)亚
ESP,西班牙王国,,西班牙|(日斯|以西)(巴|把)(尼|你)亚
ESP,日斯巴尼亚,,西班牙|(日斯|以西)(巴|把)(尼|你)亚
ESP,以西巴尼亚,,西班牙|(日斯|以西)(巴|把)(尼|你)亚
ESP,以西把你亚,,西班牙|(日斯|以西)(巴|把)(尼|你)亚
EST,爱沙尼亚,爱沙尼亚,爱沙尼亚
EST,爱沙尼亚共和国,爱沙尼亚,爱沙尼亚
ETH,埃塞俄比亚,,衣索比亚|埃塞|(衣|埃)国
ETH,埃塞俄比亚联邦民主共和国,,衣索比亚|埃塞|(衣|埃)国
ETH,埃塞,,衣索比亚|埃塞|(衣|埃)国
ETH,埃国,,衣索比亚|埃塞|(衣|埃)国
ETH,衣索比亚,,衣索比亚|埃塞|(衣|埃)国
ETH,衣索比亚联邦民主共和国,,衣索比亚|埃塞|(衣|埃)国
ETH,衣国,,衣索比亚|埃塞|(衣|埃)国
FIN,芬兰,芬兰,芬兰
FIN,芬兰共和国,芬兰,芬兰
FJI,斐济,斐济,斐济
FJI,斐济共和国,斐济,斐济
FLK,福克兰群岛,群岛,
FLK,马尔维纳斯群岛,群岛,
FRA,法国,法,法国|法兰西共和国
FRA,法兰西共和国,法,法国|法兰西共和国
FRO,法罗群岛,法罗群岛,法罗群岛
FSM,密克罗尼西亚联邦,密,
FSM,密克罗尼西亚,密,
FSM,密联邦,密,
GAB,加蓬,加,加(彭|蓬)
GAB,加蓬共和国,加,加(彭|蓬)
GAB,加彭,加,加(彭|蓬)
GAB,加彭共和国,加,加(彭|蓬)
GBR,英国,,英国|联合王国|不列颠
GBR,大不列颠及北爱尔兰联合王国,,英国|联合王国|不列颠
GBR,联合王国,,英国|联合王国|不列颠
GBR,不列颠,,英国|联合王国|不列颠
GBR,大不列颠暨北爱尔兰联合王国,,英国|联合王国|不列颠
GEO,格鲁吉亚,亚,乔治亚|格鲁吉亚
GEO,乔治亚,亚,乔治亚|格鲁吉亚
GGY,根西,根西,根西
GHA,加纳,纳,(加|迦)纳
GHA,加纳共和国,纳,(加|迦)纳
GHA,迦纳,纳,(加|迦)纳
GHA,迦纳共和国,纳,(加|迦)纳
GIB,直布罗陀,直布罗陀,直布罗陀
GIN,几内亚,内亚,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GIN,几内亚共和国,内亚,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GIN,畿内亚,内亚,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GIN,畿内亚共和国,内亚,(?<!(赤道?|巴布亚.))(几|畿)内亚(?!比(索|绍))
GLP,瓜德罗普,瓜,
GLP,瓜达洛普,瓜,
GLP,瓜地洛普,瓜,
GMB,冈比亚,比亚,(甘|冈)比亚
GMB,冈比亚共和国,比亚,(甘|冈)比亚
GMB,甘比亚,比亚,(甘|冈)比亚
GMB,甘比亚共和国,比亚,(甘|冈)比亚
GNB,几内亚比绍,内亚比,(几|畿)内亚比(索|绍)
GNB,几内亚比绍共和国,内亚比,(几|畿)内亚比(索|绍)
GNB,畿内亚比绍,内亚比,(几|畿)内亚比(索|绍)
GNB,畿内亚比绍共和国,内亚比,(几|畿)内亚比(索|绍)
GNB,几内亚比索,内亚比,(几|畿)内亚比(索|绍)
GNB,几内亚比索共和国,内亚比,(几|畿)内亚比(索|绍)
GNQ,赤道几内亚,赤,赤(几|畿)|赤道(几|畿)内亚
GNQ,赤道几内亚共和国,赤,赤(几|畿)|赤道(几|畿)内亚
GNQ,赤几,赤,赤(几|畿)|赤道(几|畿)内亚
GNQ,赤道畿内亚,赤,赤(几|畿)|赤道(几|畿)内亚
GNQ,赤道畿内亚共和国,赤,赤(几|畿)|赤道(几|畿)内亚
GNQ,赤畿,赤,赤(几|畿)|赤道(几|畿)内亚
GRC,希腊,希腊,希腊
GRC,希腊共和国,希腊,希腊
GRD,格林纳达,格,格(瑞那|林纳)达
GRD,格瑞那达,格,格(瑞那|林纳)达
GRL,格陵兰,,
GRL,世界最大岛,,
GTM,危地马拉,地马拉,(瓜|危)地马拉
GTM,危地马拉共和国,地马拉,(瓜|危)地马拉
GTM,瓜地马拉,地马拉,(瓜|危)地马拉
GTM,瓜地马拉共和国,地马拉,(瓜|危)地马拉
GUF,法属圭亚那,圭亚那,圭亚那
GUF,圭亚那,圭亚那,圭亚那
GUM,关岛,关岛,关岛
GUY,圭亚那,亚那,(盖|圭)亚那
GUY,圭亚那合作共和国,亚那,(盖|圭)亚那
GUY,盖亚那,亚那,(盖|圭)亚那
GUY,盖亚那合作共和国,亚那,(盖|圭)亚那
HKG,香港,港,港
HKG,香港特别行政区,港,港
HKG,港,港,港
HMD,赫德岛和麦克唐纳群岛,赫德岛和麦克唐纳群岛,赫德岛和麦克唐纳群岛
HND,洪都拉斯,都拉斯,(宏|洪)都拉斯
HND,洪都拉斯共和国,都拉斯,(宏|洪)都拉斯
HND,宏都拉斯,都拉斯,(宏|洪)都拉斯
HND,宏都拉斯共和国,都拉斯,(宏|洪)都拉斯
HRV,克罗地亚,克罗,克罗(埃|地)西?亚
HRV,克罗地亚共和国,克罗,克罗(埃|地)西?亚
HRV,克罗埃西亚,克罗,克罗(埃|地)西?亚
HRV,克罗埃西亚共和国,克罗,克罗(埃|地)西?亚
HTI,海地,海地,海地
HTI,海地共和国,海地,海地
HUN,匈牙利,匈牙利,匈牙利
IDN,印度尼西亚,印,印尼|印度尼西亚
IDN,印度尼西亚共和国,印,印尼|印度尼西亚
IDN,印尼,印,印尼|印度尼西亚
IDN,印尼共和国,印,印尼|印度尼西亚
